Building;Time;Samples;Events
B;2.59;+164;
B;3.3;;1
B;4.62;;2
B;5.75;;2
B;7.42;;2
B;8.77;;1
B;9.27;;2
B;9.33;-164;
D;4.45;+365;
D;4.47;;2
D;5.56;;1
D;5.57;;1
D;5.8;;1
D;6.13;;1
D;7.02;;1
D;7.05;-365;
E;1;+458;
E;2.58;;1
E;4.65;;1
E;4.79;;1
E;5.85;;1
E;6.73;;1
E;7.33;-458;
H;0;+149;
H;0.17;;2
H;1.34;;1
H;5.09;-149;
K;0;+195;
K;2.17;;1
K;3.65;;1
K;4.14;;1
K;4.14;-195;
