"Time","N","N.var","Version"
0.246976728996255,0,0,"old"
0.339185465810053,0.00233277325583084,4.11131779193885e-08,"old"
0.906544268390899,0.00466554651166168,1.64452711677554e-07,"old"
1.32762869827272,0.00466554651166168,1.64452711677554e-07,"old"
1.80746951978728,0.00466554651166168,1.64452711677554e-07,"old"
2.22562685447252,0.00701251898836415,3.71521620867905e-07,"old"
2.35702713993273,0.00701251898836415,3.71521620867905e-07,"old"
3.54330875587332,0.00701251898836415,3.71521620867905e-07,"old"
3.85552624629928,0.00937386460134516,6.63855174304332e-07,"old"
3.98133275762396,0.00937386460134516,6.63855174304332e-07,"old"
4.09749090276029,0.0117407993653473,1.04143297702892e-06,"old"
4.10195628397723,0.0141077341293495,1.50366304121446e-06,"old"
4.22001537330463,0.0141077341293495,1.50366304121446e-06,"old"
4.3861468316826,0.0164819561087092,2.0523597973167e-06,"old"
4.70809418217265,0.0164819561087092,2.0523597973167e-06,"old"
4.88829066127256,0.0164819561087092,2.0523597973167e-06,"old"
5.54048597167113,0.0164819561087092,2.0523597973167e-06,"old"
5.60202805883944,0.0164819561087092,2.0523597973167e-06,"old"
5.62373497117834,0.0164819561087092,2.0523597973167e-06,"old"
5.68979961090865,0.0188881325407643,2.69534297296146e-06,"old"
5.79291767679332,0.0188881325407643,2.69534297296146e-06,"old"
6.528067661304,0.0188881325407643,2.69534297296146e-06,"old"
6.78102605297446,0.0188881325407643,2.69534297296146e-06,"old"
6.83286775227298,0.0188881325407643,2.69534297296146e-06,"old"
6.91905881536809,0.0213212010438075,3.43446680254877e-06,"old"
7.21735968311267,0.0213212010438075,3.43446680254877e-06,"old"
7.55048333485902,0.0213212010438075,3.43446680254877e-06,"old"
7.56076754774091,0.0237679422638013,4.26794839854522e-06,"old"
7.58459151158946,0.0262146834837951,5.19188697054222e-06,"old"
7.61729763289202,0.0262146834837951,5.19188697054222e-06,"old"
7.95125765796787,0.0286692124213045,6.20965564754e-06,"old"
7.98639994380292,0.0311237413588139,7.31845804684135e-06,"old"
8.13830774919596,0.0311237413588139,7.31845804684135e-06,"old"
8.13963736150539,0.0311237413588139,7.31845804684135e-06,"old"
8.50413150628872,0.0335921859621129,8.52535601506227e-06,"old"
8.780874654892,0.0335921859621129,8.52535601506227e-06,"old"
8.92150731185685,0.0335921859621129,8.52535601506227e-06,"old"
9.51749717401443,0.0335921859621129,8.52535601506227e-06,"old"
9.69963117175755,0.0335921859621129,8.52535601506227e-06,"old"
9.78154564277175,0.0335921859621129,8.52535601506227e-06,"old"
9.78397944589501,0.0335921859621129,8.52535601506227e-06,"old"
10.0385732487634,0.0335921859621129,8.52535601506227e-06,"old"
10.5363120383004,0.0335921859621129,8.52535601506227e-06,"old"
10.6462003621816,0.0335921859621129,8.52535601506227e-06,"old"
11.1189421316087,0.0335921859621129,8.52535601506227e-06,"old"
11.1475938523667,0.0335921859621129,8.52535601506227e-06,"old"
11.1568302783819,0.0361352710627869,9.86503490021089e-06,"old"
11.6043080212399,0.0361352710627869,9.86503490021089e-06,"old"
11.6143114482178,0.0361352710627869,9.86503490021089e-06,"old"
11.6887754069555,0.0361352710627869,9.86503490021089e-06,"old"
11.8442243240974,0.0361352710627869,9.86503490021089e-06,"old"
12.3678605422952,0.0387084146674231,1.13200087346525e-05,"old"
12.5035633136709,0.0412815582720593,1.28750272577135e-05,"old"
12.6300774447854,0.0438547018766955,1.45300904693941e-05,"old"
