Time;Events;Censored;Sex
20;0;0;Male
22;3;1;Male
24;3;0;Male
26;3;1;Male
28;5;1;Male
30;6;3;Male
32;11;3;Male
34;6;5;Male
36;9;2;Male
38;6;3;Male
40;2;3;Male
45;7;7;Male
50;2;14;Male
55;0;5;Male
60;0;8;Male
99;0;3;Male
20;0;0;Female
22;0;0;Female
24;1;1;Female
26;6;2;Female
28;8;7;Female
30;6;3;Female
32;9;3;Female
34;7;3;Female
36;3;2;Female
38;5;1;Female
40;0;1;Female
45;0;9;Female
50;0;3;Female
55;0;4;Female
60;0;4;Female
99;0;2;Female
