Time;Events;Censored
1;83;0
2;35;0
3;23;0
4;15;0
5;22;0
6;16;3
7;13;36
8;12;24
9;15;29
10;15;37
11;24;40
12;12;20041
13;7;14
14;11;17
15;15;13
16;6;28
17;8;22
18;9;27
19;9;64
20;5;94
21;6;119
22;6;118
23;6;138
24;5;1188
25;7;17
26;5;28
27;5;99
28;6;128
29;3;590
